clinical_question,bottom_line,link_name,,
In adult patients with lower respiratory tract infections without evidence of pneumonia how does the administration timing or lack of antibiotics correlate to reconsultation for non-resolving symptoms hospital admission or death?,Antibiotics have not demonstrated clear benefit when administered for acute uncomplicated (e.g. no pneumonia or lung abscess) ambulatory community based lower respiratory tract infections in clinical trials[1] or in a Cochrane review.[2],/wiki/3C,,
In critically ill patients requiring central venous access how do complications vary by central venous catheter (CVC) access site?,Central venous catheters (CVCs) are associated with infrequent but potentially severe complications including catheter-related bloodstream infection (CRBSI) DVT and pneumothorax. A 2001 French randomized study demonstrated that subclavian insertion was associated with fewer infectious and thrombotic complications than femoral insertion but internal jugular (IJ) insertion was not studied.[1] A 2012 meta-analysis of mostly nonrandomized studies suggested that the subclavian approach may be associated with fewer infectious complications than femoral or IJ insertions. However it concluded that a randomized trial was necessary to confirm the rates of these complications by access site.[2],/wiki/3SITES,,
Among patients with prior MI or angina with hyperlipidemia does addition of simvastatin reduce all-cause mortality when compared to placebo?,"Hyperlipidemia was first identified as a risk factor for CAD in a publication from the Framingham Study group (1961).[1] Early trials with cholesterol modifying agents had modest success. LRC-CPPT (1984)[2] demonstrated a significant 1.6% absolute reduction in fatal or non-fatal MI at 7 years with use of the bile acid sequestrant cholestyramine in patients with type II hyperlipoproteinemia. The Helsinki Heart Study (1987)[3] demonstrated a similar reduction in the incidence of CAD with the fibrate gemfibrozil men hyperlipidemia. Neither trial demonstrated a mortality benefit. A new class of cholesterol-lowering medications called ""statins"" lowered cholesterol by reducing endogenous production through inhibition of HMG-CoA reductase. Their role in patients with CAD resultant to their hyperlipidemia was unclear.",/wiki/4S,,
In ICU patients aged ≥65 years with vasodilatory hypotension what is the effect on 90 day mortality by reducing the vasopressor exposure through permissive hypotension of target MAP of 60-65 mmHg?,The single-center Rivers Trial (2001) found a mortality benefit from an Early Goal Directed Therapy (EGDT) strategy including several interventions including MAP >65 mm Hg with vasopressors as needed. There is a dearth of evidence to support this specific MAP target and subsequent multicenter sepsis studies comparing the protocol from the Rivers Trial versus other care patterns were largely negative (e.g. ProCESS 2014; ARISE 2014; ProMISe 2015). These subsequent studies assessed the entire EGDT protocol versus other standards. Whether a higher MAP target alone provided benefit in vasodilatory shock among adults in the ICU was unclear. The use of vasopressor medications to achieve this MAP might introduce unneeded harm to the patients with shock since they involve shunting of the patients blood away from some areas in the body and risk of arrhythmias. ,/wiki/65_Trial,,
Among self-identified black patients with HFrEF does the combination of isosorbide dinitrate and hydralazine improve survival compared to placebo?,Self-identified black individuals may have less activity of the renin-angiotensin-aldosterone system (RAAS) rendering ACE inhibitors ARBs and beta-blockers relatively less effective.[1] A subgroup analysis of self-described black patients in V-HeFT (1986) was the first to suggest a survival benefit to isosorbide dinitrate (ISDN)/hydralazine a combination that targets non-RAAS pathways leading to increased nitric oxide and decreased reactive oxygen species.,/wiki/A-HeFT,,
Among African Americans with hypertensive kidney disease does intensive blood pressure control slow progression of CKD more than usual BP control?,African American adults experience a disproportionate burden of hypertension and hypertension-related chronic kidney disease when compared to white Americans.[1][2] One small analysis from the MDRD trial suggested a potential benefit in prevention progression of kidney disease with intensive BP control.[3] However the appropriate management of these interrelated conditions was unknown in the 1990s.,/wiki/AASK,,
In patients with symptomatic (NYHA II-III) heart failure with reduced ejection fraction (LVEF ≤40%) and persistent atrial fibrillation (AF) chosen for a rhythm control strategy is AF ablation superior to amiodarone with regard to AF-free survival?,Multiple RCTs including the landmark AFFIRM trial (2002) have demonstrated similar outcomes with a rate control strategy (i.e. use of AV nodal blockade to attain a safe heart rate with no intent to restore sinus rhythm) versus a rhythm control strategy (i.e. use of antiarrhythmic drugs [AAD] or procedures to restore and maintain sinus rhythm) in patients with AF. Nevertheless these initial trials included primarily older patients without structural heart disease and in particular patients with significant LV dysfunction were underrepresented. The later AF-CHF trial (2008) however specifically studied patients with concomitant AF and systolic HF and again found no significant difference in outcomes with rate versus rhythm control.,/wiki/AATAC,,
Among patients with HTN at high risk for CV complications how does benazepril/amlodipine compare to benazepril/HCTZ in reducing cardiovascular events?,No single antihypertensive has proven significantly better than others for the general population. The large comparative ALLHAT trial (2002) did not clearly demonstrate difference between a single-agent diuretic ACE inhibitor or CCB although it suggested that chlorthalidone (not widely used in the US) may be preferable. Two or more medications are required to control most hypertensives[1] which raises the question of whether trials should study head-to-head comparisons of single agents. The ACCOMPLISH trial sought to compare combination ACE inhibitors plus diuretic to combination ACE inhibitor plus CCB in terms of rates of CV events and death.,/wiki/ACCOMPLISH,,
In patients with T2DM does intensive glycemic control targeting a HbA1c <6% versus standard glycemic control targeting a HbA1c 7-7.9% reduce the risk of CV events?,Cardiovascular disease is a major cause of morbidity and mortality in patients with T2DM. The 2005 EDIC (an extension of the 1993 DCCT trial) demonstrated that improved glycemic control reduces the rate of long-term CVD in patients with T1DM. However this macrovascular outcome had not been replicated in similar trials in patients with T2DM (including the 1998 UKPDS 33).  Whether patients with T2DM have reduced incidence of CVD with near-euglycemic control (i.e. pushing the HbA1C goal <7%) was unclear.,/wiki/ACCORD,,
In patients with T2DM at high risk for CV events does intensive BP control (SBP <120 mmHg) reduce rates of nonfatal MI nonfatal stroke or CV mortality when compared to standard BP control (SBP <140 mmHg)?,Patients with T2DM are at elevated risk for CVD. HTN is an independent risk factor for CVD. The JNC 7 recommended targeting SBP to 130 mmHg despite a lack of large RCTs supporting this recommendation. ,/wiki/ACCORD_BP,,
Among adults with T2DM on statin monotherapy does addition of a fibrate reduce risk of CVD?,Adults with T2DM experience excess morbidity and mortality from CVD.[1] Atherogenic cholesterol subtypes and inflammation are thought to be on the causal pathway of CVD.[2] Statins promote a more optimal lipid profile through suppression of HMG-CoA reductase and reduce inflammation through their effects on multiple pathways.[3] Multiple studies have found statins to be effective in primary and secondary prevention of CVD in various populations. Among adults with T2DM CARDS (2004) found atorvastatin to reduce the hazard of CVD endpoints by 37%. However CVD remained elevated at 1.54/100 person-years during the follow-up period. Whether further optimization of lipids with non-statin medications would benefit diabetics was unknown. ,/wiki/ACCORD_Lipid,,
